Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
TOTAL,2019,1,,-,2,,,-,,-,78,,503,,78,,503,,,TOTAL
OHIO,2019,1,,-,0,,,-,,-,,-,5,,,-,,-,"OHIO
(40.056807, -82.405897)",
ALASKA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,5,,,-,4,,"MINNESOTA
(46.357661, -94.793397)",
NEW YORK,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2019,1,,-,0,,,-,,-,,-,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PENNSYLVANIA,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
WEST VIRGINIA,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
UTAH,2019,1,,-,0,,,-,,-,,-,2,,,-,2,,"UTAH
(39.359772, -111.584173)",
COLORADO,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WASHINGTON,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DISTRICT OF COLUMBIA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
OREGON,2019,1,,-,0,,,-,,-,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
ILLINOIS,2019,1,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MASSACHUSETTS,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2019,1,,-,0,,,-,,-,,-,3,,,-,1,,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2019,1,,-,0,,,-,,-,,-,4,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
ARKANSAS,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
HAWAII,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
MICHIGAN,2019,1,,-,1,,,-,,-,,-,2,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ALABAMA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH DAKOTA,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
RHODE ISLAND,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEVADA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARIZONA,2019,1,,-,1,,,-,,-,69,,239,,69,,239,,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2019,1,,-,1,,,-,,-,9,,251,,9,,251,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
WYOMING,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2019,1,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WEST NORTH CENTRAL,2019,2,,-,0,,,-,,-,,-,5,,,-,9,,,
MICHIGAN,2019,2,,-,1,,,-,,-,,-,2,,,-,1,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSISSIPPI,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2019,2,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
WEST SOUTH CENTRAL,2019,2,,-,0,,,-,,-,,-,2,,,-,1,,,
MOUNTAIN,2019,2,,-,1,,,-,,-,184,,233,,330,,464,,,
DELAWARE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
VERMONT,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2019,2,,-,0,,,-,,-,,-,5,,,-,6,,"MINNESOTA
(46.357661, -94.793397)",
NEW YORK,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
SOUTH ATLANTIC,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,
LOUISIANA,2019,2,,-,0,,,-,,-,,-,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGINIA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
EAST NORTH CENTRAL,2019,2,,-,1,,,-,,-,,-,6,,,-,3,,,
PUERTO RICO,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
DISTRICT OF COLUMBIA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2019,2,,-,1,,,-,,-,184,,224,,330,,446,,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2019,2,,-,1,,,-,,-,20,,230,,52,,481,,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,,
IOWA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
OHIO,2019,2,,-,0,,,-,,-,,-,5,,,-,,-,"OHIO
(40.056807, -82.405897)",
UTAH,2019,2,,-,0,,,-,,-,,-,1,,,-,2,,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
EAST SOUTH CENTRAL,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
TENNESSEE,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2019,2,,-,0,,,-,,-,,-,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PACIFIC,2019,2,,-,1,,,-,,-,20,,230,,52,,481,,,
KENTUCKY,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
AMERICAN SAMOA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,,
HAWAII,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GEORGIA,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
US RESIDENTS,2019,2,,-,2,,,-,,-,204,,461,,382,,958,,,
ALASKA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
CONNECTICUT,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH CAROLINA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
WISCONSIN,2019,2,,-,0,,,-,,-,,-,3,,,-,2,,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2019,2,,-,0,,,-,,-,,-,4,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
WEST VIRGINIA,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEVADA,2019,2,,-,0,,,-,,-,,-,10,,,-,12,,"NEVADA
(39.491833, -117.070159)",
TOTAL,2019,2,,-,2,,,-,,-,204,,461,,382,,960,,,
OKLAHOMA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2019,2,,-,0,,,-,,-,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
FLORIDA,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
COLORADO,2019,2,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
SOUTH DAKOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2019,2,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2019,2,,-,0,,,-,,-,,-,3,,,-,2,,"MISSOURI
(38.636168, -92.566292)",
MIDDDLE ATLANTIC,2019,2,,-,1,,,-,,-,,-,1,,,-,,-,,
NEW HAMPSHIRE,2019,2,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW ENGLAND,2019,2,,-,0,,,-,,-,,-,2,,,-,,-,,
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
KANSAS,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
COLORADO,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,5,,,-,13,,"MINNESOTA
(46.357661, -94.793397)",
WISCONSIN,2019,3,,-,0,,,-,,-,,-,3,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
NORTH CAROLINA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
ARIZONA,2019,3,,-,1,,,-,,-,,-,224,,337,,670,,"ARIZONA
(34.869712, -111.760902)",
MARYLAND,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2019,3,,-,1,,,-,,-,,-,2,,,-,3,,"MICHIGAN
(44.66399, -84.711206)",
MOUNTAIN,2019,3,,-,1,,,-,,-,,-,233,,337,,697,,,MOUNTAIN
NEW ENGLAND,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND
KENTUCKY,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WYOMING,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
FLORIDA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2019,3,,-,0,,,-,,-,,-,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
PACIFIC,2019,3,,-,1,,,-,,-,14,,217,,82,,697,,,PACIFIC
CALIFORNIA,2019,3,,-,1,,,-,,-,14,,217,,82,,697,,"CALIFORNIA
(37.640735, -121.002435)",
MIDDDLE ATLANTIC,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDDLE ATLANTIC
NORTH DAKOTA,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARKANSAS,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
EAST SOUTH CENTRAL,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
TEXAS,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
INDIANA,2019,3,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
HAWAII,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
UTAH,2019,3,,-,0,,,-,,-,,-,1,,,-,3,,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
EAST NORTH CENTRAL,2019,3,,-,1,,,-,,-,,-,6,,,-,8,,,EAST NORTH CENTRAL
WASHINGTON,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
ILLINOIS,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
TOTAL,2019,3,,-,2,,,-,,-,14,,461,,419,,1419,,,TOTAL
NEW MEXICO,2019,3,,-,0,,,-,,-,,-,4,,,-,6,,"NEW MEXICO
(34.520396, -106.244402)",
ALASKA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
SOUTH CAROLINA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2019,3,,-,0,,,-,,-,,-,3,,,-,2,,"MISSOURI
(38.636168, -92.566292)",
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK CITY,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
PUERTO RICO,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEBRASKA,2019,3,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW JERSEY,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
NEVADA,2019,3,,-,0,,,-,,-,,-,10,,,-,17,,"NEVADA
(39.491833, -117.070159)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PENNSYLVANIA,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2019,3,,-,0,,,-,,-,,-,5,,,-,,-,"OHIO
(40.056807, -82.405897)",
SOUTH ATLANTIC,2019,3,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
GEORGIA,2019,3,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
WEST SOUTH CENTRAL,2019,3,,-,0,,,-,,-,,-,2,,,-,1,,,WEST SOUTH CENTRAL
OREGON,2019,3,,-,0,,,-,,-,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
MAINE,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2019,3,,-,0,,,-,,-,,-,1,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
VERMONT,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
DELAWARE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
US RESIDENTS,2019,3,,-,2,,,-,,-,14,,461,,419,,1419,,,US RESIDENTS
NEW YORK,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IOWA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DISTRICT OF COLUMBIA,2019,3,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST NORTH CENTRAL,2019,3,,-,0,,,-,,-,,-,5,,,-,16,,,WEST NORTH CENTRAL
MISSOURI,2019,4,,-,0,,,-,,-,1,,3,,1,,2,,"MISSOURI
(38.636168, -92.566292)",
EAST SOUTH CENTRAL,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DISTRICT OF COLUMBIA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2019,4,,-,0,,,-,,-,,-,3,,,-,5,,"WISCONSIN
(44.395526, -89.834513)",
WEST SOUTH CENTRAL,2019,4,,-,0,,,-,,-,,-,2,,,-,3,,,WEST SOUTH CENTRAL
NORTH CAROLINA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
KANSAS,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OREGON,2019,4,,-,0,,,-,,-,,-,3,,,-,,-,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
DELAWARE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2019,4,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
MAINE,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2019,4,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
