Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
HAWAII,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20211760,POINT (-157.854309 21.361013)
UTAH,2021,17,,-,0,,,-,,-,1,,4,,13,,18,,UTAH,,20211755,POINT (-111.678222 39.323779)
PUERTO RICO,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20211767,POINT (-66.414655 18.215692)
AMERICAN SAMOA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20211764,
U.S. VIRGIN ISLANDS,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211768,POINT (-64.840836 18.060868)
WYOMING,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20211756,POINT (-107.55145 42.999627)
ALABAMA,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20211239,POINT (-86.844516 32.756889)
KANSAS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20211222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20211234,POINT (-79.130883 35.52603)
GUAM,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20211266,POINT (144.653198 13.3532)
NEW JERSEY,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20211210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20211254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,12,,-,1,,,-,,-,1,,7,,7,,22,,,EAST NORTH CENTRAL,20211214,
TENNESSEE,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20211242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20211203,POINT (-72.738288 41.575155)
MARYLAND,2021,12,,-,0,,,-,,-,,-,1,,,-,1,,MARYLAND,,20211233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20211235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20211246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20211265,POINT (145.725693 15.1834)
OHIO,2021,12,,-,1,,,-,,-,,-,4,,3,,3,,OHIO,,20211218,POINT (-82.70936 40.415534)
MINNESOTA,2021,12,,-,0,,,-,,-,,-,5,,19,,23,,MINNESOTA,,20211223,POINT (-94.198308 46.349153)
LOUISIANA,2021,12,,-,1,,,-,,-,,-,1,,,-,4,,LOUISIANA,,20211245,POINT (-91.840238 30.921314)
HAWAII,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20211260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,12,,-,0,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC,20211228,
PENNSYLVANIA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20211213,POINT (-77.838886 40.896694)
UTAH,2021,12,,-,0,,,-,,-,,-,3,,6,,13,,UTAH,,20211255,POINT (-111.678222 39.323779)
COLORADO,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20211250,POINT (-105.547832 38.998552)
VERMONT,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20211208,POINT (-72.662695 44.075252)
KENTUCKY,2021,12,,-,0,,,-,,-,,-,1,,,-,2,,KENTUCKY,,20211240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20211267,POINT (-66.414655 18.215692)
MAINE,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20211204,POINT (-69.06137 45.117911)
VIRGINIA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20211236,POINT (-78.666382 37.510861)
ARIZONA,2021,12,,-,0,,,-,,-,265,,385,,3511,,2382,,ARIZONA,,20211249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20211264,
WISCONSIN,2021,12,,-,0,,,-,,-,,-,3,,1,,7,,WISCONSIN,,20211219,POINT (-89.732969 44.639954)
IDAHO,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20211251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20211268,POINT (-64.840836 18.060868)
MICHIGAN,2021,12,,-,0,,,-,,-,1,,4,,3,,10,,MICHIGAN,,20211217,POINT (-85.730977 44.874798)
GEORGIA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20211232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20211212,
ARKANSAS,2021,12,,-,0,,,-,,-,,-,1,,2,,4,,ARKANSAS,,20211244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20211241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20211227,POINT (-100.230491 44.43614)
WYOMING,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20211256,POINT (-107.55145 42.999627)
MISSOURI,2021,12,,-,0,,,-,,-,,-,2,,,-,6,,MISSOURI,,20211224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20211209,
CALIFORNIA,2021,12,,-,0,,,-,,-,35,,102,,516,,1008,,CALIFORNIA,,20211259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20211237,POINT (-80.613729 38.642579)
FLORIDA,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20211231,POINT (-82.420978 28.260731)
MONTANA,2021,12,,-,0,,,-,,-,,-,2,,1,,3,,MONTANA,,20211252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,12,,-,0,,,-,,-,,-,5,,21,,34,,,WEST NORTH CENTRAL,20211220,
MASSACHUSETTS,2021,12,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20211205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,12,,-,0,,,-,,-,265,,393,,3543,,2434,,,MOUNTAIN,20211248,
INDIANA,2021,12,,-,0,,,-,,-,,-,0,,,-,2,,INDIANA,,20211216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,12,,-,0,,,-,,-,,-,1,,,-,1,,,NON-US RESIDENTS,20211269,
US TERRITORIES,2021,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20211263,
US RESIDENTS,2021,17,,-,1,,,-,,-,207,,491,,5876,,4877,,,US RESIDENTS,20211701,
NEW HAMPSHIRE,2021,17,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20211706,POINT (-71.57139 43.680429)
NEW YORK,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20211711,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2021,17,,-,1,,,-,,-,,-,2,,4,,8,,,WEST SOUTH CENTRAL,20211743,
NEBRASKA,2021,17,,-,0,,,-,,-,,-,2,,2,,4,,NEBRASKA,,20211725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,17,,-,0,,,-,,-,,-,1,,,-,3,,,EAST SOUTH CENTRAL,20211738,
NORTH DAKOTA,2021,17,,-,0,,,-,,-,,-,1,,1,,2,,NORTH DAKOTA,,20211726,POINT (-100.46931 47.446305)
NEVADA,2021,17,,-,0,,,-,,-,,-,9,,39,,49,,NEVADA,,20211753,POINT (-114.916992 39.283294)
ILLINOIS,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20211715,POINT (-89.148632 40.124144)
IOWA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20211721,POINT (-93.500061 42.074659)
TEXAS,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20211747,POINT (-99.317341 31.447238)
DISTRICT OF COLUMBIA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20211730,POINT (-77.016275 38.904785)
NEW ENGLAND,2021,17,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20211702,
RHODE ISLAND,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20211707,POINT (-71.534637 41.572574)
DELAWARE,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20211729,POINT (-75.452394 38.994926)
ALABAMA,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20211739,POINT (-86.844516 32.756889)
KANSAS,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20211722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20211734,POINT (-79.130883 35.52603)
NEW JERSEY,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20211710,POINT (-74.655514 40.110253)
EAST NORTH CENTRAL,2021,17,,-,0,,,-,,-,,-,7,,8,,25,,,EAST NORTH CENTRAL,20211714,
TENNESSEE,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20211742,POINT (-86.343226 35.842998)
CONNECTICUT,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20211703,POINT (-72.738288 41.575155)
MARYLAND,2021,17,,-,0,,,-,,-,,-,2,,2,,2,,MARYLAND,,20211733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20211735,POINT (-80.864614 33.878572)
OKLAHOMA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20211746,POINT (-97.508297 35.583449)
OHIO,2021,17,,-,0,,,-,,-,,-,4,,2,,3,,OHIO,,20211718,POINT (-82.70936 40.415534)
MINNESOTA,2021,17,,-,0,,,-,,-,1,,5,,39,,28,,MINNESOTA,,20211723,POINT (-94.198308 46.349153)
LOUISIANA,2021,17,,-,1,,,-,,-,,-,2,,3,,4,,LOUISIANA,,20211745,POINT (-91.840238 30.921314)
SOUTH ATLANTIC,2021,17,,-,0,,,-,,-,,-,2,,2,,2,,,SOUTH ATLANTIC,20211728,
PENNSYLVANIA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20211713,POINT (-77.838886 40.896694)
COLORADO,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20211750,POINT (-105.547832 38.998552)
VERMONT,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20211708,POINT (-72.662695 44.075252)
KENTUCKY,2021,17,,-,0,,,-,,-,,-,1,,,-,3,,KENTUCKY,,20211740,POINT (-85.290484 37.526683)
MAINE,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20211704,POINT (-69.06137 45.117911)
VIRGINIA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20211736,POINT (-78.666382 37.510861)
ARIZONA,2021,17,,-,0,,,-,,-,165,,385,,4531,,2907,,ARIZONA,,20211749,POINT (-111.664616 34.293239)
WISCONSIN,2021,17,,-,0,,,-,,-,,-,3,,3,,8,,WISCONSIN,,20211719,POINT (-89.732969 44.639954)
IDAHO,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20211751,POINT (-114.659366 44.389073)
MICHIGAN,2021,17,,-,0,,,-,,-,,-,4,,3,,12,,MICHIGAN,,20211717,POINT (-85.730977 44.874798)
GEORGIA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20211732,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20211712,
ARKANSAS,2021,17,,-,0,,,-,,-,,-,1,,1,,4,,ARKANSAS,,20211744,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20211741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20211727,POINT (-100.230491 44.43614)
MISSOURI,2021,17,,-,0,,,-,,-,,-,2,,,-,6,,MISSOURI,,20211724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,17,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20211709,
CALIFORNIA,2021,17,,-,0,,,-,,-,40,,124,,1235,,1819,,CALIFORNIA,,20211759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,17,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20211737,POINT (-80.613729 38.642579)
US RESIDENTS,2021,13,,-,1,,,-,,-,277,,475,,4529,,3871,,,US RESIDENTS,20211301,
TOTAL,2021,21,,-,1,,,-,,-,239,,507,,7177,,5864,,,TOTAL,20212170,
NEW ENGLAND,2021,13,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20211302,
CONNECTICUT,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20211303,POINT (-72.738288 41.575155)
MAINE,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20212204,POINT (-69.06137 45.117911)
VIRGINIA,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20212236,POINT (-78.666382 37.510861)
NEW HAMPSHIRE,2021,13,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20211306,POINT (-71.57139 43.680429)
RHODE ISLAND,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20211307,POINT (-71.534637 41.572574)
ARIZONA,2021,22,,-,0,,,-,,-,170,,385,,5508,,3603,,ARIZONA,,20212249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20212264,
NEW JERSEY,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20211310,POINT (-74.655514 40.110253)
NEW YORK,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20211311,POINT (-75.59655 42.921241)
EAST NORTH CENTRAL,2021,13,,-,1,,,-,,-,,-,7,,7,,23,,,EAST NORTH CENTRAL,20211314,
WISCONSIN,2021,22,,-,0,,,-,,-,,-,1,,4,,14,,WISCONSIN,,20212219,POINT (-89.732969 44.639954)
ILLINOIS,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20211315,POINT (-89.148632 40.124144)
IOWA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20211321,POINT (-93.500061 42.074659)
KANSAS,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20211322,POINT (-98.38018 38.484729)
IDAHO,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20212251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,22,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20212268,POINT (-64.840836 18.060868)
MICHIGAN,2021,22,,-,0,,,-,,-,,-,2,,8,,17,,MICHIGAN,,20212217,POINT (-85.730977 44.874798)
GEORGIA,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20212232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20212212,
ARKANSAS,2021,22,,-,0,,,-,,-,,-,1,,1,,4,,ARKANSAS,,20212244,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20212241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,22,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20212227,POINT (-100.230491 44.43614)
WYOMING,2021,22,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20212256,POINT (-107.55145 42.999627)
MISSOURI,2021,22,,-,0,,,-,,-,,-,1,,,-,10,,MISSOURI,,20212224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,22,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20212209,
CALIFORNIA,2021,22,,-,0,,,-,,-,40,,136,,1888,,2320,,CALIFORNIA,,20212259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20212237,POINT (-80.613729 38.642579)
FLORIDA,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20212231,POINT (-82.420978 28.260731)
MONTANA,2021,22,,-,0,,,-,,-,1,,2,,6,,6,,MONTANA,,20212252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,22,,-,0,,,-,,-,,-,5,,56,,55,,,WEST NORTH CENTRAL,20212220,
NEBRASKA,2021,13,,-,0,,,-,,-,,-,2,,1,,3,,NEBRASKA,,20211325,POINT (-99.810595 41.527099)
NORTH DAKOTA,2021,13,,-,0,,,-,,-,,-,1,,1,,2,,NORTH DAKOTA,,20211326,POINT (-100.46931 47.446305)
DELAWARE,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20211329,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20211330,POINT (-77.016275 38.904785)
MARYLAND,2021,13,,-,0,,,-,,-,,-,1,,,-,1,,MARYLAND,,20211333,POINT (-76.687282 38.946466)
NORTH CAROLINA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20211334,POINT (-79.130883 35.52603)
MASSACHUSETTS,2021,22,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20212205,POINT (-71.481104 42.151077)
MOUNTAIN,2021,22,,-,0,,,-,,-,171,,388,,5588,,3702,,,MOUNTAIN,20212248,
INDIANA,2021,22,,-,0,,,-,,-,,-,0,,,-,2,,INDIANA,,20212216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,22,,-,0,,,-,,-,,-,1,,,-,1,,,NON-US RESIDENTS,20212269,
US TERRITORIES,2021,22,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20212263,
TOTAL,2021,26,,-,1,,,-,,-,252,,574,,9150,,7703,,,TOTAL,20212670,
EAST SOUTH CENTRAL,2021,23,,-,0,,,-,,-,,-,1,,1,,5,,,EAST SOUTH CENTRAL,20212338,
TOTAL,2021,32,,-,2,,,-,,-,210,,576,,11306,,9521,,,TOTAL,20213270,
MICHIGAN,2021,34,,-,0,,,-,,-,,-,3,,29,,25,,MICHIGAN,,20213417,POINT (-85.730977 44.874798)
GEORGIA,2021,34,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20213432,POINT (-83.426574 32.638481)
US RESIDENTS,2021,21,,-,1,,,-,,-,239,,507,,7177,,5863,,,US RESIDENTS,20212101,
NEW HAMPSHIRE,2021,21,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20212106,POINT (-71.57139 43.680429)
NEW YORK,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20212111,POINT (-75.59655 42.921241)
PACIFIC,2021,21,,-,0,,,-,,-,18,,134,,1675,,2186,,,PACIFIC,20212157,
WEST SOUTH CENTRAL,2021,21,,-,1,,,-,,-,,-,2,,4,,8,,,WEST SOUTH CENTRAL,20212143,
NEBRASKA,2021,21,,-,0,,,-,,-,,-,2,,2,,4,,NEBRASKA,,20212125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,21,,-,0,,,-,,-,,-,1,,1,,3,,,EAST SOUTH CENTRAL,20212138,
NORTH DAKOTA,2021,21,,-,0,,,-,,-,,-,1,,2,,3,,NORTH DAKOTA,,20212126,POINT (-100.46931 47.446305)
NEVADA,2021,21,,-,0,,,-,,-,,-,9,,53,,68,,NEVADA,,20212153,POINT (-114.916992 39.283294)
ILLINOIS,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20212115,POINT (-89.148632 40.124144)
IOWA,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20212121,POINT (-93.500061 42.074659)
TEXAS,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20212147,POINT (-99.317341 31.447238)
ALASKA,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20212158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20212130,POINT (-77.016275 38.904785)
WASHINGTON,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20212162,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,21,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20212102,
RHODE ISLAND,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20212107,POINT (-71.534637 41.572574)
OREGON,2021,21,,-,0,,,-,,-,,-,2,,2,,5,,OREGON,,20212161,POINT (-120.605279 43.940449)
DELAWARE,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20212129,POINT (-75.452394 38.994926)
ALABAMA,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20212139,POINT (-86.844516 32.756889)
KANSAS,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20212122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20212134,POINT (-79.130883 35.52603)
GUAM,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20212166,POINT (144.653198 13.3532)
NEW JERSEY,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20212110,POINT (-74.655514 40.110253)
NEW MEXICO,2021,21,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20212154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,21,,-,0,,,-,,-,,-,5,,13,,36,,,EAST NORTH CENTRAL,20212114,
MAINE,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20211304,POINT (-69.06137 45.117911)
MASSACHUSETTS,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20211305,POINT (-71.481104 42.151077)
VERMONT,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20211308,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2021,13,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20211309,
NEW YORK CITY,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20211312,
PENNSYLVANIA,2021,13,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20211313,POINT (-77.838886 40.896694)
INDIANA,2021,13,,-,0,,,-,,-,,-,0,,,-,2,,INDIANA,,20211316,POINT (-86.2818 39.919991)
MICHIGAN,2021,13,,-,0,,,-,,-,,-,4,,3,,11,,MICHIGAN,,20211317,POINT (-85.730977 44.874798)
OHIO,2021,13,,-,1,,,-,,-,,-,4,,3,,3,,OHIO,,20211318,POINT (-82.70936 40.415534)
WISCONSIN,2021,13,,-,0,,,-,,-,,-,3,,1,,7,,WISCONSIN,,20211319,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2021,13,,-,0,,,-,,-,1,,5,,22,,36,,,WEST NORTH CENTRAL,20211320,
SOUTH ATLANTIC,2021,13,,-,0,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC,20211328,
TENNESSEE,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20212142,POINT (-86.343226 35.842998)
CONNECTICUT,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20212103,POINT (-72.738288 41.575155)
MARYLAND,2021,21,,-,0,,,-,,-,,-,2,,2,,2,,MARYLAND,,20212133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20212135,POINT (-80.864614 33.878572)
OKLAHOMA,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20212146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,21,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212165,POINT (145.725693 15.1834)
OHIO,2021,21,,-,0,,,-,,-,,-,4,,3,,3,,OHIO,,20212118,POINT (-82.70936 40.415534)
MINNESOTA,2021,21,,-,0,,,-,,-,2,,5,,51,,37,,MINNESOTA,,20212123,POINT (-94.198308 46.349153)
LOUISIANA,2021,21,,-,1,,,-,,-,,-,2,,3,,4,,LOUISIANA,,20212145,POINT (-91.840238 30.921314)
HAWAII,2021,21,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20212160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,21,,-,0,,,-,,-,,-,2,,2,,2,,,SOUTH ATLANTIC,20212128,
NEVADA,2021,15,,-,0,,,-,,-,,-,9,,37,,45,,NEVADA,,20211553,POINT (-114.916992 39.283294)
ILLINOIS,2021,15,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20211515,POINT (-89.148632 40.124144)
IOWA,2021,15,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20211521,POINT (-93.500061 42.074659)
TEXAS,2021,15,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20211547,POINT (-99.317341 31.447238)
ALASKA,2021,15,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20211558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,15,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20211530,POINT (-77.016275 38.904785)
