Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2022†","Cholera, Cum 2022†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2022†","Coccidioidomycosis, Cum 2022†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocoding
NON-US RESIDENTS,2022,1,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200169,
FLORIDA,2022,1,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,202200131,POINT (-82.420978 28.260731)
GUAM,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,202200266,POINT (144.653198 13.3532)
DISTRICT OF COLUMBIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,202200230,POINT (-77.016275 38.904785)
NORTH DAKOTA,2022,2,,-,0,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,202200226,POINT (-100.46931 47.446305)
OKLAHOMA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
COLORADO,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,202200250,POINT (-105.547832 38.998552)
SOUTH CAROLINA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,202200235,POINT (-80.864614 33.878572)
VIRGINIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,202200236,POINT (-78.666382 37.510861)
NORTHERN MARIANA ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200265,POINT (145.725693 15.1834)
WYOMING,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200256,POINT (-107.55145 42.999627)
MAINE,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,202200204,POINT (-69.06137 45.117911)
VERMONT,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,202200208,POINT (-72.662695 44.075252)
EAST NORTH CENTRAL,2022,2,,-,0,,,-,,-,,-,5,,1,,1,,,EAST NORTH CENTRAL,202200214,
MISSOURI,2022,2,,-,0,,,-,,-,,-,2,,,-,1,,MISSOURI,,202200224,POINT (-92.477244 38.3675)
KANSAS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200222,POINT (-98.38018 38.484729)
WASHINGTON,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,202200362,POINT (-120.592492 47.411715)
NORTHERN MARIANA ISLANDS,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200365,POINT (145.725693 15.1834)
US TERRITORIES,2022,3,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,202200363,
ALABAMA,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,ALABAMA,,202200339,POINT (-86.844516 32.756889)
NEW HAMPSHIRE,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200306,POINT (-71.57139 43.680429)
ARKANSAS,2022,3,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200344,POINT (-92.439162 34.899825)
MISSOURI,2022,3,,-,0,,,-,,-,,-,2,,,-,2,,MISSOURI,,202200324,POINT (-92.477244 38.3675)
NORTH CAROLINA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,202200334,POINT (-79.130883 35.52603)
AMERICAN SAMOA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,202200364,
IDAHO,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,202200351,POINT (-114.659366 44.389073)
ARIZONA,2022,3,,-,0,,,-,,-,,-,330,,477,,942,,ARIZONA,,202200349,POINT (-111.664616 34.293239)
MINNESOTA,2022,3,,-,0,,,-,,-,,-,5,,,-,10,,MINNESOTA,,202200323,POINT (-94.198308 46.349153)
NEVADA,2022,3,,-,0,,,-,,-,,-,8,,1,,12,,NEVADA,,202200353,POINT (-114.916992 39.283294)
WYOMING,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200356,POINT (-107.55145 42.999627)
SOUTH ATLANTIC,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,202200328,
MASSACHUSETTS,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,202200305,POINT (-71.481104 42.151077)
EAST NORTH CENTRAL,2022,3,,-,0,,,-,,-,,-,5,,1,,2,,,EAST NORTH CENTRAL,202200314,
NEBRASKA,2022,3,,-,0,,,-,,-,,-,7,,1,,1,,NEBRASKA,,202200325,POINT (-99.810595 41.527099)
MIDDLE ATLANTIC,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200309,
KENTUCKY,2022,3,,-,0,,,-,,-,,-,1,,1,,,-,KENTUCKY,,202200340,POINT (-85.290484 37.526683)
NEW YORK CITY,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,202200312,
PACIFIC,2022,3,,-,1,,,-,,-,,-,206,,24,,454,,,PACIFIC,202200357,
SOUTH DAKOTA,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200327,POINT (-100.230491 44.43614)
U.S. VIRGIN ISLANDS,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200368,
NEW JERSEY,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,202200310,POINT (-74.655514 40.110253)
EAST SOUTH CENTRAL,2022,3,,-,0,,,-,,-,,-,2,,1,,,-,,EAST SOUTH CENTRAL,202200338,
MISSISSIPPI,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,202200341,POINT (-89.65344 32.713378)
RHODE ISLAND,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200307,POINT (-71.534637 41.572574)
COLORADO,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,202200350,POINT (-105.547832 38.998552)
INDIANA,2022,3,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,202200316,POINT (-86.2818 39.919991)
ALASKA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,202200358,POINT (-151.631889 63.631126)
MARYLAND,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,MARYLAND,,202200333,POINT (-76.687282 38.946466)
LOUISIANA,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,LOUISIANA,,202200345,POINT (-91.840238 30.921314)
WEST NORTH CENTRAL,2022,3,,-,0,,,-,,-,,-,8,,1,,15,,,WEST NORTH CENTRAL,202200320,
OKLAHOMA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,202200346,POINT (-97.508297 35.583449)
VERMONT,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,202200308,POINT (-72.662695 44.075252)
OREGON,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,OREGON,,202200361,POINT (-120.605279 43.940449)
MONTANA,2022,3,,-,0,,,-,,-,,-,3,,2,,1,,MONTANA,,202200352,POINT (-109.645127 47.033521)
MICHIGAN,2022,3,,-,0,,,-,,-,,-,3,,,-,2,,MICHIGAN,,202200317,POINT (-85.730977 44.874798)
GEORGIA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,202200332,POINT (-83.426574 32.638481)
FLORIDA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,202200331,POINT (-82.420978 28.260731)
WISCONSIN,2022,3,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,202200319,POINT (-89.732969 44.639954)
NEW YORK,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,202200311,POINT (-75.59655 42.921241)
NORTH DAKOTA,2022,3,,-,0,,,-,,-,,-,1,,,-,2,,NORTH DAKOTA,,202200326,POINT (-100.46931 47.446305)
CALIFORNIA,2022,3,,-,1,,,-,,-,,-,206,,24,,454,,CALIFORNIA,,202200359,POINT (-119.662127 37.211164)
DELAWARE,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200329,POINT (-75.452394 38.994926)
UTAH,2022,2,,-,0,,,-,,-,,-,5,,,-,3,,UTAH,,202200255,POINT (-111.678222 39.323779)
TOTAL,2022,2,,-,1,,,-,,-,34,,534,,371,,895,,,TOTAL,202200270,
TEXAS,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,202200247,POINT (-99.317341 31.447238)
MINNESOTA,2022,2,,-,0,,,-,,-,,-,5,,,-,6,,MINNESOTA,,202200223,POINT (-94.198308 46.349153)
NORTH CAROLINA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,202200234,POINT (-79.130883 35.52603)
AMERICAN SAMOA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,202200264,
MOUNTAIN,2022,2,,-,0,,,-,,-,26,,345,,349,,613,,,MOUNTAIN,202200248,
MARYLAND,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,MARYLAND,,202200233,POINT (-76.687282 38.946466)
NEVADA,2022,2,,-,0,,,-,,-,1,,8,,1,,8,,NEVADA,,202200253,POINT (-114.916992 39.283294)
NEW HAMPSHIRE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200206,POINT (-71.57139 43.680429)
NEW MEXICO,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
NEW JERSEY,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
MONTANA,2022,2,,-,0,,,-,,-,,-,3,,2,,1,,MONTANA,,202200252,POINT (-109.645127 47.033521)
IDAHO,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,202200251,POINT (-114.659366 44.389073)
SOUTH ATLANTIC,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,,SOUTH ATLANTIC,202200228,
ARKANSAS,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200244,POINT (-92.439162 34.899825)
RHODE ISLAND,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200207,POINT (-71.534637 41.572574)
EAST SOUTH CENTRAL,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,202200238,
CALIFORNIA,2022,2,,-,1,,,-,,-,8,,206,,20,,273,,CALIFORNIA,,202200259,POINT (-119.662127 37.211164)
NEW ENGLAND,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,202200202,
ALASKA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,202200258,POINT (-151.631889 63.631126)
WASHINGTON,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,202200262,POINT (-120.592492 47.411715)
MICHIGAN,2022,2,,-,0,,,-,,-,,-,3,,,-,1,,MICHIGAN,,202200217,POINT (-85.730977 44.874798)
SOUTH CAROLINA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,202200335,POINT (-80.864614 33.878572)
OHIO,2022,3,,-,0,,,-,,-,,-,2,,1,,,-,OHIO,,202200318,POINT (-82.70936 40.415534)
TENNESSEE,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,202200342,POINT (-86.343226 35.842998)
NON-US RESIDENTS,2022,3,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200369,
WEST VIRGINIA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,202200337,POINT (-80.613729 38.642579)
PENNSYLVANIA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,202200313,POINT (-77.838886 40.896694)
TENNESSEE,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,202200242,POINT (-86.343226 35.842998)
NEBRASKA,2022,2,,-,0,,,-,,-,,-,7,,1,,,-,NEBRASKA,,202200225,POINT (-99.810595 41.527099)
NEW YORK CITY,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,202200212,
WEST SOUTH CENTRAL,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,,WEST SOUTH CENTRAL,202200243,
GEORGIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,202200232,POINT (-83.426574 32.638481)
ILLINOIS,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,202200215,POINT (-89.148632 40.124144)
ALABAMA,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,ALABAMA,,202200239,POINT (-86.844516 32.756889)
U.S. VIRGIN ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200268,
ARIZONA,2022,2,,-,0,,,-,,-,25,,341,,346,,601,,ARIZONA,,202200249,POINT (-111.664616 34.293239)
FLORIDA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,202200231,POINT (-82.420978 28.260731)
PACIFIC,2022,2,,-,1,,,-,,-,8,,206,,20,,273,,,PACIFIC,202200257,
WEST VIRGINIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,202200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,202200241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200227,POINT (-100.230491 44.43614)
WEST NORTH CENTRAL,2022,2,,-,0,,,-,,-,,-,8,,1,,8,,,WEST NORTH CENTRAL,202200220,
US TERRITORIES,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,202200263,
OHIO,2022,2,,-,0,,,-,,-,,-,2,,1,,,-,OHIO,,202200218,POINT (-82.70936 40.415534)
DELAWARE,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200229,POINT (-75.452394 38.994926)
US RESIDENTS,2022,2,,-,1,,,-,,-,34,,534,,371,,895,,,US RESIDENTS,202200201,
MASSACHUSETTS,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
NEW YORK,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,202200211,POINT (-75.59655 42.921241)
IOWA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,202200221,POINT (-93.500061 42.074659)
INDIANA,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,202200216,POINT (-86.2818 39.919991)
HAWAII,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,202200260,POINT (-157.854309 21.361013)
MIDDLE ATLANTIC,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,202200209,
WISCONSIN,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,202200219,POINT (-89.732969 44.639954)
LOUISIANA,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,LOUISIANA,,202200245,POINT (-91.840238 30.921314)
PUERTO RICO,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,202200267,POINT (-66.414655 18.215692)
CONNECTICUT,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,202200203,POINT (-72.738288 41.575155)
GUAM,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,202200266,POINT (144.653198 13.3532)
DISTRICT OF COLUMBIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,202200230,POINT (-77.016275 38.904785)
NORTH DAKOTA,2022,2,,-,0,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,202200226,POINT (-100.46931 47.446305)
OKLAHOMA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
COLORADO,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,202200250,POINT (-105.547832 38.998552)
PENNSYLVANIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,202200213,POINT (-77.838886 40.896694)
SOUTH CAROLINA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,202200235,POINT (-80.864614 33.878572)
VIRGINIA,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,202200236,POINT (-78.666382 37.510861)
OREGON,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,OREGON,,202200261,POINT (-120.605279 43.940449)
NORTHERN MARIANA ISLANDS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200265,POINT (145.725693 15.1834)
WYOMING,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200256,POINT (-107.55145 42.999627)
MAINE,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,202200204,POINT (-69.06137 45.117911)
VERMONT,2022,2,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,202200208,POINT (-72.662695 44.075252)
EAST NORTH CENTRAL,2022,2,,-,0,,,-,,-,,-,5,,1,,1,,,EAST NORTH CENTRAL,202200214,
MISSOURI,2022,2,,-,0,,,-,,-,,-,2,,,-,1,,MISSOURI,,202200224,POINT (-92.477244 38.3675)
KANSAS,2022,2,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200222,POINT (-98.38018 38.484729)
NON-US RESIDENTS,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200269,
KENTUCKY,2022,2,,-,0,,,-,,-,,-,1,,,-,,-,KENTUCKY,,202200240,POINT (-85.290484 37.526683)
MAINE,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,202200304,POINT (-69.06137 45.117911)
IOWA,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,202200321,POINT (-93.500061 42.074659)
KANSAS,2022,3,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200322,POINT (-98.38018 38.484729)
TEXAS,2022,3,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,202200347,POINT (-99.317341 31.447238)
U.S. VIRGIN ISLANDS,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200468,
KENTUCKY,2022,4,,-,0,,,-,,-,,-,1,,1,,,-,KENTUCKY,,202200440,POINT (-85.290484 37.526683)
PENNSYLVANIA,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,202200413,POINT (-77.838886 40.896694)
WEST NORTH CENTRAL,2022,4,,-,0,,,-,,-,,-,7,,1,,17,,,WEST NORTH CENTRAL,202200420,
NORTHERN MARIANA ISLANDS,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200465,POINT (145.725693 15.1834)
TOTAL,2022,4,,-,1,,,-,,-,2,,496,,545,,1893,,,TOTAL,202200470,
VERMONT,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,202200408,POINT (-72.662695 44.075252)
NEW YORK CITY,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,202200412,
WASHINGTON,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,202200462,POINT (-120.592492 47.411715)
TEXAS,2022,4,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,202200447,POINT (-99.317341 31.447238)
INDIANA,2022,4,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,202200416,POINT (-86.2818 39.919991)
NEW HAMPSHIRE,2022,4,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200406,POINT (-71.57139 43.680429)
