Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
DISTRICT OF COLUMBIA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
OKLAHOMA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
TOTAL,2020,2,,-,2,,,-,,-,239,,477,,449,,557,,,TOTAL,20200270,
NEW ENGLAND,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20200402,
CONNECTICUT,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MAINE,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20200404,POINT (-69.06137 45.117911)
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
MASSACHUSETTS,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
US RESIDENTS,2020,1,,-,2,,,-,,-,213,,477,,213,,236,,,US RESIDENTS,20200101,
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,1,,,-,,-,,-,3,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
EAST SOUTH CENTRAL,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20200138,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20200164,
MAINE,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20200104,POINT (-69.06137 45.117911)
SOUTH ATLANTIC,2020,1,,-,1,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC,20200128,
NEW MEXICO,2020,1,,-,0,,,-,,-,,-,9,,,-,1,,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
NEW JERSEY,2020,1,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
MIDDLE ATLANTIC,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200109,
ALASKA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
DELAWARE,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
LOUISIANA,2020,1,,-,0,,,-,,-,,-,3,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
MISSISSIPPI,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
MOUNTAIN,2020,1,,-,1,,,-,,-,208,,389,,208,,119,,,MOUNTAIN,20200148,
PENNSYLVANIA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
WEST NORTH CENTRAL,2020,1,,-,0,,,-,,-,,-,7,,,-,,-,,WEST NORTH CENTRAL,20200120,
TEXAS,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200147,POINT (-99.317341 31.447238)
PUERTO RICO,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
MARYLAND,2020,1,,-,1,,,-,,-,,-,1,,,-,1,,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
EAST NORTH CENTRAL,2020,1,,-,1,,,-,,-,1,,5,,1,,,-,,EAST NORTH CENTRAL,20200114,
NEBRASKA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
VIRGINIA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
IDAHO,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20200151,POINT (-114.659366 44.389073)
ALABAMA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20200139,POINT (-86.844516 32.756889)
IOWA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200121,POINT (-93.500061 42.074659)
COLORADO,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20200150,POINT (-105.547832 38.998552)
INDIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
WASHINGTON,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,5,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
CALIFORNIA,2020,1,,-,0,,,-,,-,4,,250,,4,,116,,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
FLORIDA,2020,1,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
ARKANSAS,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
VERMONT,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20200408,POINT (-72.662695 44.075252)
NEW JERSEY,2020,4,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
PENNSYLVANIA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,4,,-,1,,,-,,-,,-,5,,2,,3,,,EAST NORTH CENTRAL,20200414,
ILLINOIS,2020,4,,-,1,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
MICHIGAN,2020,4,,-,1,,,-,,-,,-,3,,,-,2,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
OHIO,2020,4,,-,0,,,-,,-,,-,3,,2,,1,,OHIO,,20200418,POINT (-82.70936 40.415534)
WISCONSIN,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IOWA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200421,POINT (-93.500061 42.074659)
KANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
MINNESOTA,2020,4,,-,0,,,-,,-,,-,5,,,-,2,,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
NEBRASKA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,4,,-,1,,,-,,-,,-,1,,,-,1,,,SOUTH ATLANTIC,20200428,
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
GEORGIA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20200432,POINT (-83.426574 32.638481)
MARYLAND,2020,4,,-,1,,,-,,-,,-,1,,,-,1,,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,,EAST SOUTH CENTRAL,20200438,
ALABAMA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KENTUCKY,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
TENNESSEE,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,3,,1,,,-,,WEST SOUTH CENTRAL,20200443,
LOUISIANA,2020,4,,-,0,,,-,,-,,-,3,,1,,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
TEXAS,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20200447,POINT (-99.317341 31.447238)
ARIZONA,2020,4,,-,0,,,-,,-,191,,365,,922,,616,,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20200451,POINT (-114.659366 44.389073)
NEVADA,2020,4,,-,1,,,-,,-,,-,7,,2,,7,,NEVADA,,20200453,POINT (-114.916992 39.283294)
NEW MEXICO,2020,4,,-,0,,,-,,-,,-,9,,,-,11,,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,0,,,-,,-,,-,4,,,-,8,,UTAH,,20200455,POINT (-111.678222 39.323779)
PACIFIC,2020,4,,-,0,,,-,,-,15,,251,,56,,608,,,PACIFIC,20200457,
ALASKA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20200458,POINT (-151.631889 63.631126)
HAWAII,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,,-,0,,,-,,-,,-,1,,,-,1,,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
RHODE ISLAND,2020,5,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,0,,,-,,-,,-,1,,,-,1,,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,0,,,-,,-,,-,9,,,-,15,,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,,-,1,,,-,,-,,-,5,,5,,3,,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,1,,,-,,-,,-,1,,,-,1,,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
MASSACHUSETTS,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
WEST NORTH CENTRAL,2020,2,,-,0,,,-,,-,1,,7,,1,,,-,,WEST NORTH CENTRAL,20200220,
FLORIDA,2020,2,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20200231,POINT (-82.420978 28.260731)
MOUNTAIN,2020,2,,-,1,,,-,,-,224,,380,,427,,294,,,MOUNTAIN,20200248,
MONTANA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
