Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,8286,,29056,,32594,,8286,,25647,,148,,208,,269,,148,,201,,,
NEW ENGLAND,2017,1,534,,1044,,1296,,534,,806,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,28,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
WASHINGTON,2017,28,496,,519,,819,,12887,,16582,,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2017,28,1,,259,,459,,4856,,6940,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2017,28,448,,321,,711,,7130,,10526,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,28,,-,488,,790,,12625,,14457,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
NEW ENGLAND,2017,28,168,,1076,,1524,,27326,,28234,,,-,0,,1,,1,,2,,,
MID. ATLANTIC,2017,1,1598,,3918,,4284,,1598,,4060,,,-,0,,0,,,-,,-,,
GEORGIA,2017,28,341,,1228,,1426,,31750,,34232,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
DIST. OF COL.,2017,28,129,,139,,318,,3327,,3802,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK CITY,2017,1,530,,1297,,1520,,530,,1402,,,N,0,,0,,,N,,N,,
WISCONSIN,2017,28,348,,514,,633,,13272,,14158,,,-,0,,2,,,-,8,,"WISCONSIN
(44.395526, -89.834513)",
E.N. CENTRAL,2017,1,1094,,4221,,4909,,1094,,4744,,2,,1,,7,,2,,,-,,
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2017,28,294,,508,,1343,,12389,,14517,,,-,0,,2,,4,,5,,"MARYLAND
(39.290443, -76.612333)",
MID. ATLANTIC,2017,28,2928,,4035,,5099,,114283,,105087,,,-,0,,0,,,-,,-,,
NORTH CAROLINA,2017,28,,-,1122,,1319,,22106,,30630,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2017,28,403,,384,,714,,10105,,7898,,,-,0,,1,,2,,,-,"KENTUCKY
(37.64591, -84.774043)",
W.N. CENTRAL,2017,1,248,,1841,,2070,,248,,1930,,,-,2,,9,,,-,1,,,
MOUNTAIN,2017,28,1138,,2091,,2714,,54303,,57995,,109,,114,,159,,3072,,3340,,,
