Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH CAROLINA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190135
ARKANSAS,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
MINNESOTA,2019,1,,-,0,,,-,,-,,-,5,,,-,4,,"MINNESOTA
(46.349153, -94.198308)",,20190123
CONNECTICUT,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20190103
COLORADO,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20190150
NEW YORK,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
NEVADA,2019,1,,-,0,,,-,,-,,-,4,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190153
IOWA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20190121
PUERTO RICO,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20190167
NEW ENGLAND,2019,1,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND,20190102
AMERICAN SAMOA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20190164
SOUTH DAKOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
WYOMING,2019,1,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190156
NORTH CAROLINA,2019,1,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
